Description,Link
"paox33cake face 🍰😛 babes we are backkkkk with them makeup videos !! i am super excited to be partnering with #japonesque this month to try out their new brushes that just launched !can’t wait for you to see all of the looks i will be creating with them 🙌😬 available @ultabeauty 💋brushes used @japonesque 709,710,713,716,721 facial spray @dermalogica antioxidant hydra mist foundation @benefitcosmetics #benefitcosmetics hello happy in number 7 ( i like to warm up the foundation with my fingers then blend it out ) concealer @toofaced #toofaced multi sculpting concealer: to highlight i used shade “warm beige “and to contour “mocha “face powder @hudabeauty #hudabeauty #hudabeautyeasybake in banana bread and cinnamon bun liquid liner @thebalmcosmetics schwing liner #thebalm highlighter @japonesque ibiza nights fave palette lips japonesque kumadori lipstick in haiku lashes @gemmaisabellamakeup in paris #paox33 #japonesquepartner #wakeupandmakeup #shophudabeauty #makeup #makeupart #makeupjunkie #makeuptutorials #makeupvideos #maquiagem92w",https://www.instagram.com/p/Bk6WwGRA5W6/
paox33car selfies and soft looks 💕✨———————————————eyebrows @benefitcosmetics #benefitcosmetics gime brow “4”foundation @hourglasscosmetics #hourglasscosmetics vanish stick foundation stick in beige lips @ofracosmetics “mocha” and ” miami fever “ #ofracosmetics bronzer @ciatelondon #ciatelondon bamboo bronzer in south beach highlighter @maybelline #maybelline  master holographic prismatic highlighter in “050”eyeliner @sephora #sephora collection long lasting 12 hr in matte black blush @narsissist #nars in “orgasm” #paox3359w,https://www.instagram.com/p/BuE9jOpnWaB/
paox33brown tones ☕️✨brows @milkmakeup kush fiber brow #milkmakeup eyes @colourpopcosmetics california love palette #colourpop inner corner @iambeckyg x @colourpopcosmetics super shock in oro skin prep @farsalicare unicorn essence #farsalicare primer & foundation @fentybeauty #fentybeauty pro filtr hydrating long wear in 235beauty sponge @fentybeauty concealer @jouercosmetics essential high coverage liquid concealer #jouercosmetics translucent powder @lancomeofficial long time no shine #lancomeliquid liner @milanicosmetics line play #milanicosmeticsblush @wander_beautylashes @duartbeauty “zana” #duartbeautylips @sirjohnofficial x @luminesscosmetics “trouble” topped off with #beckygxcolourpop in “b”highlighter @personacosmetics cali glow in “zuma” #personacosmetics #paox33 #makeupvideos #maquillaje #smokeyeye34w,https://www.instagram.com/p/B1HPmTrFSH5/
paox33drugstore/affordable makeup 💰💕prep skin with  @garnierusa balancing facial mist  #garnier color correcting with @wetnwildbeauty full circuit no limit palette eyeshadow @bhcosmetics x @itsmyrayerayefoundation @lorealmakeup infallible 24hr fresh wear in shade 460concealer @rimmellondonus stay matte powder @milanicosmetics make it last setting powder brows @physiciansformula brow last and #loreal brow stylist bronzer #wetnwildbeautysetting mist @pixibeauty highlighter @maybelline master chrome blush @colourpopcosmetics super shock cheek in birthday suit lip liner @lagirlcosmetics un cafe lipgloss #pixibeauty x @chloemorello53w,https://www.instagram.com/p/Bvy8UlgHdSq/
paox33always end up in warm tones 🤷‍♀️✨eyes @lagirlcosmetics haute haute heat eyeshadow palette #lagirlcosmetics lashes @tartecosmetics x @exteriorglam “kosova”lips @girlactik bashful blush @jouercosmetics cheeky summer foundation @toofaced born this way concealer #toofaced multi sculpting concealer eyeliner @urbandecaycosmetics #urbandecay perversion glitter @toofaced pink champagne sugar brows @benefitcosmetics gimme brow  4contour @hudabeauty #hudabeautytantour in medium #paox3346w,https://www.instagram.com/p/Bx0YsdZhIgR/
"paox33swatches of some of my favs from the new  @hudabeauty #hudabeautylipstrobe 🌈 💄which one is your fav? eyes : @shophudabeauty #hudabeautyrosegoldpalette liner : @thebalm_cosmetics #thebalmcosmetics brows : @benefitcosmetics kabrow in 04 #benefitcosmetics lashes : @hudabeauty jade highlight : @maccosmetics #maccosmetics ""oh darling "" #paox33 #anastasiabeverlyhills #hudabeauty #wakeupandmakeup #vegas_nay #makeuptutorial #makeupvideos #maquiagem #makeupclips #motd #fashionarttut #videosfashions #allmodernmakeup #makeupgirlz146w",https://www.instagram.com/p/BVpzS64Abzs/
paox33duraznito 🍑✨eyes @colourpopcosmetics #colourpopcosmetics baby got peach lip gloss @personacosmetics #personacosmetics honey gloss foundation @milkmakeup #milkmakeup flex foundation in medium beige lashes @lillylashes #lillylashes miami litehighlighter and bronzer @ofracosmetics x @valelorenbeauty concealer @elfcosmetics 16hr camo medium beige #elfcosmetics #paox3333w,https://www.instagram.com/p/B1j9O-YlcVx/
paox33car selfies 🖤feliz lunes mis amores !✨btw thank you so much for the love on my new hair ☺️eyebrows @benefitcosmetics #browstyler in number 4 eyeshadow palette @hudabeauty #hudabeautymercuryretrograde #hudabeauty lashes @lillylashes #lillylashes “miami “lips @colourpopcosmetics peach please kit  #colourpopcosmetics #paox3321w,https://www.instagram.com/p/B4vWb9xFKM0/
"paox33no wing liner bronze look 🍂🍯brushes and beauty sponge : @lagirlcosmetics #lagirlcosmetics eyes: @lorealmakeup acro-matte shadow in 306 and infallible paints metallic in 402 #lorealmakeup white liner : #loreal infallible white liner moisturizer & primer: @origins #origins #pinkwatercream original skin matte moisturizer foundation : @hourglasscosmetics #hourglasscosmetics foundation stick in beige concealer : #urbandecaycosmeticscontour : @lusciouscosmetics #lusciouscosmetics highlighter : @deckofscarlet x @thefashionfreakk lipstick : @maccosmetics among the fireflies lipgloss : #maccosmetics lip glass in nude lashes : @lillylashes #lillylashes ""miami""#paox33 #hudabeauty #wakeupandmakeup #makeup #motd #makeuptutorials #makeuplover #1minutemakeup #makeupvideos #makeupvideo #maquiagem #makeupclips #shimycatsmua #videosfashions #makeupgirlz #make #makegirlz #fakeupfix #linerandbrowsss #maryhadalittleglam132w",https://www.instagram.com/p/BZjTGKLgGrx/
paox33because you can never go wrong with a winged liner and red lip 🌹🔪💃🏻 video will be up tomorrow on this look 😘brows : @benefitcosmetics #benefitbrows goof proof brow pencil in number 4 liquid liner : @thebalm_cosmetics schwing lashes : @lillylashes mink mykonos lips : @kikomilanousa lip liner fall 2.0 collection in 03 and @smashboxcosmetics #alwaysonliquidlipstick in bawse highlighter : @beccacosmetics prosecco pop#paox33 #beccacosmetics #motd #lillyghalichi #makeup #makeuptransformation #thebalmcosmetics #makeupjunkie127w,https://www.instagram.com/p/Ba5QiSwARUn/
"paox33fall vibes💩🍂and first time using a liquid lipstick as liner 👀not bad ✅eyebrow primer : #benefitcosmetics #benefitbrowsbrows : @benefitcosmetics precisely my brow pencil in number 4eyes : @shophudabeauty #hudabeautydesertdusk glitter : @urbandecaycosmetics ""midnight cowboy ""lashes :@hudabeauty #hudabeauty ""jade ""lipstick : #smashbox #alwaysonliquidlipstick ""true grit ""used as liner as well primer : @maccosmetics foundation : @lauramercier flawless fusion in goldenconcealer : @lancomeofficial #lancome ""beige ""bronzer : @marcbeauty ""tan-tastic"" blush : @smashboxcosmetics #smashbox highlighter: @makeupaddictioncosmetics holy glow fantasy 🎶: suena el dembow -joey montana ft sebastian yatra🎶#paox33 #wakeupandmakeup #fallmakeup #makeup #motd #makeuplover #alyakattan #makeuptutorials #1minutemakeup #makeupvideo #makeupvideos #maquiagem #makeupclips #fashionarttut #videosfashions #makeuptutorial #make4glam #shophudabeauty #makegirlz #fakeupfix #maryhadalittleglam #makeupvideoss #maquillaje132w",https://www.instagram.com/p/BZujSFugco4/
"paox33and i am backkkkkk! 🌟tried so many good new products that i am obsessed with and of course i recorded this look for you babes 😘😉foundation : @hudabeauty #fauxfilterfoundation #hudabeauty ""tres leches "" #hudabeautyfauxfilter lashes : @lillylashes style goddess #lillylashes lips : @ofracosmetics ""mocha "" #ofracosmetics highlighter: @kikomilanousa gold in progress bronzer : @kikomilanousa bronze melangebrows : @benefitcosmetics brow gel and kabrow in 04 #benefitbrowsrings : @queenpee #paox33 #wakeupandmakeup #makeup #motd #makeuptransformation #kikomilano129w",https://www.instagram.com/p/BakOYKMA5D8/
